  0.100000E+01 -0.639518E+00 -0.486748E+00
 -0.639518E+00  0.100000E+01  0.205182E+00
 -0.486748E+00  0.205182E+00  0.100000E+01


  0.100000E+01 -0.622932E+00 -0.506160E+00
 -0.622932E+00  0.100000E+01  0.247680E-01
 -0.506160E+00  0.247680E-01  0.100000E+01


  0.100000E+01 -0.675530E+00 -0.396796E+00
 -0.675530E+00  0.100000E+01 -0.186482E+00
 -0.396796E+00 -0.186482E+00  0.100000E+01
 

  0.100000E+01 -0.649099E+00 -0.508615E+00
 -0.649099E+00  0.100000E+01  0.816809E-01
 -0.508615E+00  0.816808E-01  0.100000E+01
 
second series

  0.100000E+01 -0.400266E+00 -0.235076E+00
 -0.400266E+00  0.100000E+01 -0.397171E+00
 -0.235076E+00 -0.397171E+00  0.100000E+01
